Id,Code,City Name,City Abbr,Longitude,Latitude.City PinYin
1214,B,博野,BY,115.461798,38.458271,boye
367,B,泊头,BT,116.578278,38.083641,botou
1193,B,柏乡,BX,114.693382,37.483596,baixiang
1315,B,保德,BD,111.085688,39.022576,baode
68,B,包头,BT,109.84021,40.65781,baotou
914,B,巴彦淖尔,BYNE,107.387733,40.743172,bayannaoer
1351,B,巴林左旗,BLZQ,119.391737,43.980715,balinzuoqi
1352,B,巴林右旗,BLYQ,118.678347,43.528963,balinyouqi
336,B,本溪,BX,123.766861,41.294128,benxi
1427,B,本溪满族自治县,BXMZZZX,124.126156,41.300344,benximanzuzizhixian
1432,B,北镇,BZ,121.795962,41.598764,beizhen
1443,B,北票,BP,120.766951,41.803286,beipiao
397,B,白山,BS,126.424431,41.9408,baishan
223,B,白城,BC,122.838707,45.619598,baicheng
705,B,北安,BA,126.491081,48.241459,beian
1476,B,拜泉,BQ,126.091911,47.607363,baiquan
1496,B,勃利,BL,130.575025,45.751573,boli
1484,B,宝清,BQ,132.206415,46.328781,baoqing
1157,B,宾县,BX,127.485863,45.75864,binxian
1466,B,巴彦,BY,127.403602,46.081889,bayan
856,B,宝应,BY,119.358414,33.241421,baoying
839,B,滨海,BH,119.820641,33.98975,binhai
313,B,亳州,BZ,115.779312,33.844608,bozhou
75,B,蚌埠,BB,117.38932,32.915482,bengbu
134,B,滨州,BZ,117.972794,37.382111,binzhou
970,B,博兴,BX,118.110962,37.152988,boxing
690,B,宝丰,BF,113.054787,33.868401,baofeng
684,B,博爱,BA,113.064529,35.17123,boai
652,B,泌阳,BY,113.327087,32.724098,biyang
1693,B,巴东,BD,110.336665,31.041403,badong
1684,B,保康,BK,111.262235,31.873507,baokang
1732,B,保靖,BJ,109.651445,28.709605,baojing
534,B,博罗,BL,114.289726,23.173149,boluo
290,B,北海,BH,109.120079,21.481119,beihai
1770,B,宾阳,BY,108.816735,23.216884,binyang
1824,B,巴马瑶族自治县,BMYZZZX,107.253126,24.139538,bamayaozuzizhixian
156,B,百色,BS,106.618378,23.902161,baise
1801,B,博白,BB,109.980004,22.271285,bobai
566,B,北流,BL,110.354263,22.70837,beiliu
1845,B,白沙黎族自治县,BSLZZZX,109.122688,19.360565,baishalizuzizhixian
1848,B,保亭黎族苗族自治县,BTLZMZZZX,109.70245,18.636371,baotinglizumiaozuzizhixian
317,B,巴中,BZ,106.74733,31.867149,bazhong
1865,B,北川羌族自治县,BCQZZZX,104.461616,31.831505,beichuanqiangzuzizhixian
1930,B,白玉,BY,98.824343,31.208805,baiyu
1934,B,巴塘,BT,99.109037,30.005723,batang
1946,B,布拖,BT,102.808801,27.709062,butuo
1901,B,宝兴,BX,102.813377,30.369026,baoxing
136,B,毕节,BJ,105.305038,27.29847,bijie
264,B,保山,BS,99.161812,25.112049,baoshan
2102,B,宾川,BC,100.5848,25.82916,binchuan
2141,B,白朗,BL,89.263618,29.106627,bailang
2158,B,八宿,BS,96.917893,30.053408,basu
2162,B,边坝,BB,94.707504,30.933849,bianba
2179,B,比如,BR,93.68044,31.479917,biru
2184,B,班戈,BG,90.011822,31.394578,bange
2185,B,巴青,BQ,94.054049,31.918691,baqing
2201,B,波密,BM,95.768151,29.858771,bomi
2276,B,白河,BH,110.114186,32.809484,baihe
2234,B,白水,BS,109.594309,35.177291,baishui
2222,B,彬县,BX,108.083674,35.034233,binxian
244,B,宝鸡,BJ,107.23732,34.361938,baoji
522,B,白银,BY,104.137733,36.544701,baiyin
2383,B,班玛,BM,100.737955,32.931589,banma
5894,B,北屯,BT,87.824932,47.353177,beitun
2423,B,巴里坤哈萨克自治县,BLKHSKZZX,93.021795,43.599032,balikunhasakezizhixian
2432,B,博尔塔拉蒙古自治州,BETLMGZZZ,82.074778,44.903258,boertalamengguzizhizhou
2433,B,博乐,BL,82.072237,44.903087,bole
2437,B,巴音郭楞蒙古自治州,BYGLMGZZZ,86.147471,41.765086,bayinguolengmengguzizhizhou
2445,B,博湖,BH,86.631576,41.980166,bohu
2450,B,拜城,BC,81.869881,41.796101,baicheng
2469,B,巴楚,BC,78.55041,39.783479,bachu
2500,B,布尔津,BEJ,86.86186,47.70453,buerjin
1404,E,二连浩特,ELHT,111.97981,43.652895,erlianhaote
1418,E,额济纳旗,EJNQ,101.06944,41.958813,ejinaqi
395,E,鄂尔多斯,EEDS,109.780869,39.608452,eerduosi
1366,E,鄂托克前旗,ETKQQ,107.48172,38.183257,etuokeqianqi
1367,E,鄂托克旗,ETKQ,107.982604,39.095752,etuokeqi
1373,E,鄂伦春自治旗,ELCZZQ,123.725684,50.590177,elunchunzizhiqi
1374,E,鄂温克族自治旗,EWKZZZQ,119.754041,49.143293,ewenkezuzizhiqi
1379,E,额尔古纳,EEGN,120.178636,50.2439,eerguna
1691,E,恩施土家族苗族自治州,ESTJZMZZZZ,109.48699,30.283114,enshitujiazumiaozuzizhizhou
229,E,恩施,ES,109.479179,30.29504,enshi
184,E,鄂州,EZ,114.894951,30.39085,ezhou
555,E,恩平,EP,112.305321,22.18294,enping
1877,E,峨边彝族自治县,EBYZZZX,103.262148,29.230271,ebianyizuzizhixian
213,E,峨眉山,EMS,103.484467,29.60125,emeishan
2035,E,峨山彝族自治县,ESYZZZX,102.404358,24.173256,eshanyizuzizhixian
2108,E,洱源,EY,99.951708,26.111184,eryuan
2493,E,额敏,EM,83.622118,46.522555,emin
618,D,大城,DC,116.654228,38.704689,daicheng
1247,D,大厂回族自治县,DCHZZZX,116.986501,39.889266,dachanghuizuzizhixian
587,D,定州,DZ,114.99025,38.516258,dingzhou
1205,D,定兴,DX,115.796895,39.266195,dingxing
595,D,大名,DM,115.147881,36.28558,daming
1239,D,东光,DG,116.542062,37.88655,dongguang
1166,D,代县,DX,112.959961,39.066891,daixian
1306,D,定襄,DX,112.963231,38.484948,dingxiang
1325,D,大宁,DN,110.751283,36.46383,daning
169,D,大同,DT,113.300011,40.07637,datong
1269,D,大同,DT,113.611306,40.039345,datong
1349,D,达尔罕茂明安联合旗,DEHMMALHQ,110.438452,41.702836,daerhanmaominganlianheqi
1408,D,东乌珠穆沁旗,DWZMQQ,116.980022,45.510307,dongwuzhumuqinqi
1414,D,多伦,DL,116.477288,42.197962,duolun
919,D,达拉特旗,DLTQ,110.032928,40.400162,dalateqi
1382,D,磴口,DK,107.006056,40.330479,dengkou
20,D,大连,DL,121.614761,38.913689,dalian
913,D,调兵山,DBS,123.566902,42.467548,diaobingshan
145,D,丹东,DD,124.35601,39.999802,dandong
902,D,东港,DG,124.152092,39.861721,donggang
1436,D,灯塔,DT,123.325864,41.427836,dengta
901,D,大石桥,DSQ,122.509171,40.644482,dashiqiao
818,D,德惠,DH,125.705582,44.53709,dehui
806,D,敦化,DH,128.232056,43.372711,dunhua
813,D,大安,DA,124.292519,45.507111,daan
1447,D,东丰,DF,125.529623,42.675228,dongfeng
1448,D,东辽,DL,124.991995,42.927724,dongliao
86,D,大庆,DQ,125.103073,46.587582,daqing
1489,D,杜尔伯特蒙古族自治县,DEBTMGZZZX,124.446259,46.865973,duerbotemengguzuzizhixian
1497,D,东宁,DN,131.125296,44.063578,dongning
1511,D,大兴安岭地区,DXALDQ,124.398555,51.672255,daxinganlingdiqu
349,D,丹阳,DY,119.606941,32.009449,danyang
834,D,东台,DT,120.320503,32.866951,dongtai
844,D,东海,DH,118.771469,34.54216,donghai
1116,D,岱山,DS,122.204979,30.24369,daishan
1100,D,德清,DQ,119.977539,30.54269,deqing
1083,D,东阳,DY,120.241913,29.289459,dongyang
479,D,定远,DY,117.698563,32.52998,dingyuan
464,D,当涂,DT,118.497803,31.569901,dangtu
465,D,砀山,DS,116.366058,34.440971,dangshan
484,D,东至,DZ,117.027657,30.09663,dongzhi
518,D,大田,DT,117.84713,25.69261,datian
511,D,德化,DH,118.240982,25.4916,dehua
1558,D,东山,DS,117.427679,23.702845,dongshan
1578,D,德安,DA,115.762611,29.327474,dean
896,D,都昌,DC,116.204086,29.273069,duchang
1622,D,德兴,DX,117.578732,28.945034,dexing
1586,D,大余,DY,114.362243,25.395937,dayu
1590,D,定南,DN,115.03267,24.774277,dingnan
966,D,东平,DP,116.470238,35.93708,dongping
1637,D,东阿,DE,116.248855,36.336004,donge
132,D,东营,DY,118.67466,37.433651,dongying
971,D,东明,DM,115.090157,35.289532,dongming
224,D,德州,DZ,116.359268,37.435501,dezhou
621,D,邓州,DZ,112.087357,32.687771,dengzhou
630,D,登封,DF,113.050278,34.45348,dengfeng
642,D,郸城,DC,115.17704,33.644749,dancheng
746,D,当阳,DY,111.78833,30.82118,dangyang
712,D,大冶,DY,114.979767,30.09551,daye
744,D,丹江口,DJK,111.513222,32.540401,danjiangkou
728,D,大悟,DW,114.126938,31.560961,dawu
784,D,洞口,DK,110.575829,27.060381,dongkou
789,D,东安,DA,111.316437,26.392059,dongan
792,D,道县,DX,111.600067,25.527531,daoxian
1755,D,东源,DY,114.742711,23.789093,dongyuan
51,D,东莞,DG,113.751808,23.020691,dongguan
1747,D,大埔,DP,116.69552,24.351587,dapu
1745,D,德庆,DQ,111.78156,23.141711,deqing
1796,D,东兴,DX,107.97017,21.541172,dongxing
1836,D,大新,DX,107.200803,22.833369,daxin
1821,D,东兰,DL,107.373696,24.509367,donglan
1825,D,都安瑶族自治县,DAYZZZX,108.102761,23.934964,duanyaozuzizhixian
